race,stench,sound,heat,intelligence,height,weight,strength,alignment,flight,bribe
lizard,21,18,-2,13,227,113,784,evil,0,
lizard,12,20,11,13,212,111,763,evil,0,
halfling,13,11,10,15,117,92,150,good,0,
human,11,9,8,25,219,109,335,neutral,0,156.0
wingedrat,15,15,18,9,178,243,1177,evil,1,
lizard,22,12,3,15,226,120,808,evil,0,
halfling,15,7,13,14,110,121,176,good,0,
human,6,11,16,15,239,117,360,neutral,0,140.0
human,16,15,14,20,237,115,349,neutral,0,145.0
halfling,13,4,18,9,103,107,158,good,0,
orc,14,18,11,14,376,305,2209,evil,0,
human,12,12,4,25,228,98,316,neutral,0,153.0
lizard,17,16,4,11,227,125,830,evil,0,
lizard,18,14,7,10,215,145,891,evil,0,
lizard,18,12,5,16,220,116,831,evil,0,
human,9,13,12,24,212,101,322,neutral,0,160.0
lizard,19,16,2,11,206,117,805,evil,0,
lizard,17,13,-1,13,207,131,846,evil,0,
halfling,13,9,16,12,131,116,181,good,0,
human,9,7,9,13,216,113,337,neutral,0,131.0
orc,19,19,9,11,361,310,2184,evil,0,
lizard,14,13,9,16,210,123,766,evil,0,
wingedrat,14,13,17,14,175,191,1019,evil,1,
halfling,12,8,13,20,146,117,190,good,0,
wingedrat,11,20,15,5,147,202,914,evil,1,
human,18,13,10,18,219,110,332,neutral,0,132.0
wingedrat,14,17,13,13,157,216,1008,evil,1,
lizard,15,16,6,10,234,110,780,evil,0,
orc,22,13,8,5,387,280,2062,evil,0,
lizard,19,15,-2,11,237,154,964,evil,0,
human,13,17,15,21,245,104,342,neutral,0,148.0
wingedrat,13,9,13,15,169,198,948,evil,1,
halfling,11,9,15,20,118,88,147,good,0,
human,13,12,16,14,194,106,311,neutral,0,129.0
human,13,12,14,15,224,105,336,neutral,0,132.0
halfling,9,6,17,14,133,108,174,good,0,
lizard,18,19,10,16,225,118,776,evil,0,
orc,20,21,7,5,381,344,2350,evil,0,
orc,17,20,11,10,397,342,2435,evil,0,
orc,20,20,14,9,372,303,2177,evil,0,
wingedrat,15,18,17,14,168,197,979,evil,1,
human,14,13,11,20,249,95,324,neutral,0,143.0
halfling,16,9,12,18,134,113,180,good,0,
halfling,14,14,10,13,133,132,198,good,0,
lizard,13,10,-1,11,230,127,880,evil,0,
human,10,12,11,20,230,101,334,neutral,0,145.0
lizard,19,8,-6,9,229,107,781,evil,0,
orc,21,13,6,6,351,364,2461,evil,0,
human,10,11,9,19,228,106,321,neutral,0,143.0
human,9,8,10,16,210,83,280,neutral,0,140.0
human,16,6,10,23,209,100,313,neutral,0,146.0
wingedrat,16,14,17,16,161,213,955,evil,1,
orc,18,18,13,8,323,333,2187,evil,0,
wingedrat,18,10,17,13,172,226,1078,evil,1,
orc,17,25,6,2,352,351,2354,evil,0,
halfling,14,13,10,13,116,80,138,good,0,
human,16,13,13,23,227,99,310,neutral,0,148.0
orc,18,19,6,10,359,337,2361,evil,0,
halfling,13,12,12,18,134,110,177,good,0,
orc,14,21,10,9,348,293,2159,evil,0,
halfling,17,13,14,9,133,107,173,good,0,
orc,20,18,4,-1,344,372,2474,evil,0,
orc,16,21,10,9,325,320,2229,evil,0,
human,12,16,12,23,230,101,321,neutral,0,152.0
halfling,16,7,10,15,116,98,156,good,0,
lizard,22,13,4,7,216,113,749,evil,0,
wingedrat,12,19,13,16,142,212,978,evil,1,
human,18,14,7,21,222,101,314,neutral,0,140.0
wingedrat,12,9,15,4,162,187,942,evil,1,
orc,21,17,10,9,343,326,2166,evil,0,
halfling,14,10,14,13,118,110,169,good,0,
orc,20,19,13,12,338,319,2177,evil,0,
lizard,17,12,5,11,220,139,851,evil,0,
lizard,20,13,7,13,218,117,745,evil,0,
orc,21,15,13,6,359,348,2377,evil,0,
orc,19,20,17,5,339,359,2366,evil,0,
halfling,7,9,8,19,153,103,179,good,0,
halfling,13,10,11,15,123,97,158,good,0,
halfling,13,14,16,19,126,120,183,good,0,
human,12,7,9,22,214,112,322,neutral,0,149.0
human,15,15,6,24,220,114,327,neutral,0,150.0
wingedrat,16,16,17,11,141,157,777,evil,1,
lizard,13,13,-5,8,227,135,856,evil,0,
human,7,9,14,23,220,104,321,neutral,0,154.0
wingedrat,11,15,19,11,167,227,1134,evil,1,
halfling,8,9,15,13,118,141,200,good,0,
halfling,7,8,12,17,128,92,156,good,0,
halfling,13,17,11,15,106,109,162,good,0,
lizard,23,21,-2,11,205,123,755,evil,0,
wingedrat,18,16,17,9,156,215,986,evil,1,
lizard,18,14,-4,17,216,137,886,evil,0,
orc,20,22,11,4,337,313,2227,evil,0,
lizard,16,11,5,15,225,150,932,evil,0,
lizard,13,12,5,5,228,140,897,evil,0,
human,15,13,10,19,211,116,325,neutral,0,136.0
wingedrat,17,18,19,10,147,225,1072,evil,1,
wingedrat,11,11,16,13,147,227,1049,evil,1,
halfling,8,5,10,19,117,121,179,good,0,
wingedrat,20,12,12,14,149,211,968,evil,1,
halfling,15,10,12,19,125,102,164,good,0,
halfling,11,11,13,18,115,141,198,good,0,
halfling,8,14,15,9,125,112,174,good,0,
halfling,11,8,15,11,135,101,168,good,0,
halfling,15,6,16,10,152,88,164,good,0,
human,14,10,14,21,227,118,339,neutral,0,145.0
orc,20,20,12,15,303,306,2094,evil,0,
orc,16,24,14,10,346,324,2285,evil,0,
human,10,16,10,17,215,101,314,neutral,0,142.0
orc,20,19,6,3,328,315,2162,evil,0,
lizard,20,19,7,12,196,125,754,evil,0,
halfling,11,13,16,11,118,122,181,good,0,
orc,24,23,9,4,322,337,2302,evil,0,
lizard,18,19,-6,9,204,143,874,evil,0,
wingedrat,18,13,12,13,155,231,1130,evil,1,
lizard,14,13,3,11,222,133,826,evil,0,
orc,25,17,7,11,344,346,2325,evil,0,
human,10,14,11,21,234,105,340,neutral,0,148.0
human,15,17,16,20,220,97,309,neutral,0,140.0
orc,19,24,8,6,314,303,2088,evil,0,
halfling,15,8,15,11,126,111,174,good,0,
halfling,16,17,14,19,121,98,158,good,0,
lizard,19,15,0,9,208,127,797,evil,0,
human,11,13,13,18,197,105,301,neutral,0,142.0
lizard,21,15,6,15,207,90,718,evil,0,
lizard,19,13,6,11,213,146,866,evil,0,
human,11,9,11,17,230,91,297,neutral,0,136.0
halfling,10,12,9,16,119,127,186,good,0,
wingedrat,13,15,18,17,146,206,946,evil,1,
human,9,10,12,14,246,108,350,neutral,0,133.0
orc,22,20,7,11,328,332,2279,evil,0,
orc,15,22,15,7,341,343,2233,evil,0,
orc,19,22,5,1,332,365,2357,evil,0,
lizard,19,13,0,17,236,125,834,evil,0,
orc,20,13,9,5,334,331,2249,evil,0,
halfling,14,5,7,11,117,97,155,good,0,
human,11,11,13,27,223,109,345,neutral,0,161.0
human,5,10,11,23,214,109,330,neutral,0,157.0
lizard,19,13,-4,10,219,145,922,evil,0,
human,12,13,6,16,230,93,327,neutral,0,136.0
orc,23,20,13,9,324,343,2304,evil,0,
wingedrat,12,19,9,11,168,194,1033,evil,1,
lizard,21,16,3,9,227,129,874,evil,0,
halfling,14,8,13,15,128,124,188,good,0,
human,8,11,13,21,199,88,279,neutral,0,149.0
orc,19,24,11,7,339,336,2210,evil,0,
orc,21,25,10,10,339,345,2233,evil,0,
halfling,7,9,10,13,102,123,174,good,0,
halfling,10,3,13,14,136,106,174,good,0,
human,11,11,13,20,237,97,324,neutral,0,148.0
orc,15,18,2,4,327,299,2150,evil,0,
halfling,10,11,7,11,99,142,191,good,0,
human,12,10,15,16,219,117,335,neutral,0,134.0
halfling,13,13,17,20,138,85,154,good,0,
halfling,10,11,16,17,133,101,167,good,0,
orc,25,11,16,9,344,290,1955,evil,0,
wingedrat,12,20,20,11,144,181,878,evil,1,
halfling,11,8,13,14,133,112,178,good,0,
orc,23,23,9,12,349,348,2434,evil,0,
human,12,12,12,17,216,104,299,neutral,0,137.0
lizard,21,18,11,11,217,122,818,evil,0,
halfling,10,15,11,15,128,102,166,good,0,
wingedrat,13,11,15,8,163,184,891,evil,1,
human,7,9,13,29,232,107,333,neutral,0,169.0
orc,22,19,10,12,331,350,2304,evil,0,
human,16,15,14,22,226,117,340,neutral,0,145.0
wingedrat,14,14,21,11,151,211,1010,evil,1,
lizard,13,14,7,14,217,135,834,evil,0,
lizard,18,17,6,11,237,114,837,evil,0,
wingedrat,19,11,10,11,151,240,1090,evil,1,
halfling,11,9,15,11,117,100,158,good,0,
orc,18,20,15,16,332,338,2197,evil,0,
orc,24,21,12,13,346,284,2138,evil,0,
human,12,16,12,19,243,96,318,neutral,0,143.0
orc,21,13,11,12,354,302,2230,evil,0,
orc,24,19,12,13,366,344,2421,evil,0,
orc,20,16,6,11,274,304,2010,evil,0,
orc,20,22,12,11,333,307,2162,evil,0,
halfling,9,9,11,17,125,99,161,good,0,
halfling,7,11,11,16,153,142,218,good,0,
human,11,16,14,19,216,104,321,neutral,0,146.0
human,12,17,18,19,218,104,308,neutral,0,146.0
wingedrat,17,20,17,9,137,218,953,evil,1,
human,12,7,13,22,215,97,308,neutral,0,151.0
orc,22,19,13,8,309,302,2030,evil,0,
lizard,14,20,0,11,207,120,816,evil,0,
wingedrat,17,21,13,15,168,218,1069,evil,1,
orc,24,11,9,5,347,324,2226,evil,0,
lizard,10,10,-6,16,232,126,837,evil,0,
human,11,11,15,26,209,103,315,neutral,0,158.0
lizard,14,13,2,15,207,125,810,evil,0,
human,7,14,11,19,217,96,312,neutral,0,148.0
lizard,19,17,-2,15,214,141,895,evil,0,
lizard,19,16,-5,16,211,130,839,evil,0,
lizard,22,17,13,9,219,117,803,evil,0,
halfling,15,11,16,10,117,121,179,good,0,
orc,15,19,4,12,343,307,2208,evil,0,
halfling,12,14,10,14,119,95,154,good,0,
orc,21,21,10,9,333,339,2291,evil,0,
halfling,15,13,14,19,135,121,188,good,0,
orc,23,20,14,8,342,342,2207,evil,0,
human,17,13,9,18,220,102,314,neutral,0,137.0
halfling,8,6,7,11,116,108,166,good,0,
wingedrat,12,16,16,14,163,198,952,evil,1,
wingedrat,19,18,20,12,148,205,981,evil,1,
lizard,13,17,-3,17,235,144,906,evil,0,
orc,25,19,12,10,306,320,2151,evil,0,
lizard,17,18,1,11,217,116,833,evil,0,
lizard,23,18,7,15,213,127,769,evil,0,
wingedrat,17,17,17,10,157,205,1029,evil,1,
lizard,20,14,2,12,227,134,860,evil,0,
wingedrat,7,9,14,14,149,182,884,evil,1,
wingedrat,17,17,17,14,157,215,1080,evil,1,
orc,19,18,12,8,346,352,2408,evil,0,
orc,10,21,14,3,334,350,2329,evil,0,
orc,28,15,10,12,351,338,2276,evil,0,
human,12,17,10,19,225,111,332,neutral,0,142.0
halfling,12,14,15,18,123,103,164,good,0,
wingedrat,15,17,15,18,170,199,1012,evil,1,
