race,stench,sound,heat,intelligence,height,weight,strength,alignment,flight,bribe
human,15,16,14,40,220,120,347,neutral,0,158.0
wingedrat,37,15,26,10,161,183,887,evil,1,
human,14,8,11,24,216,101,309,neutral,0,134.0
human,15,15,13,33,222,100,308,neutral,0,146.0
halfling,15,10,14,16,124,119,181,good,0,
lizard,20,20,-19,26,231,106,792,neutral,0,
lizard,22,27,-11,17,212,147,918,evil,0,
lizard,26,16,-17,23,210,146,863,evil,0,
human,8,12,9,34,219,112,330,neutral,0,150.0
orc,54,29,5,6,309,313,2054,evil,0,
human,9,13,10,31,216,111,329,neutral,0,145.0
human,8,12,13,43,218,105,315,neutral,0,163.0
lizard,22,16,-16,19,219,123,797,evil,0,
lizard,25,14,-19,24,206,125,789,evil,0,
lizard,27,19,-26,22,229,121,818,evil,0,
lizard,23,16,-17,28,219,116,810,neutral,0,
human,17,17,11,30,240,114,343,neutral,0,144.0
orc,45,21,12,10,346,336,2327,evil,0,
wingedrat,23,18,22,7,155,174,928,evil,1,
lizard,13,22,-20,22,229,101,740,neutral,0,
lizard,24,18,-25,28,222,146,895,neutral,0,
halfling,9,12,13,24,148,71,145,good,0,
human,14,9,15,35,207,115,323,neutral,0,148.0
human,13,12,11,29,226,95,320,neutral,0,144.0
halfling,17,4,14,25,133,130,196,good,0,
lizard,25,20,-18,23,207,115,796,evil,0,
lizard,15,16,-18,29,232,111,799,neutral,0,
lizard,21,23,-15,21,216,130,831,neutral,0,
human,12,15,7,37,188,107,309,neutral,0,153.0
human,8,16,12,32,226,112,330,neutral,0,150.0
halfling,15,5,11,29,137,101,169,good,0,
halfling,11,10,10,30,125,130,192,good,0,
human,7,9,13,28,217,100,313,neutral,0,143.0
halfling,16,11,11,25,126,118,181,good,0,
halfling,20,13,10,24,134,107,174,good,0,
human,9,14,15,32,215,114,323,neutral,0,144.0
orc,36,27,11,10,361,347,,evil,0,
human,14,12,13,30,205,101,306,neutral,0,141.0
lizard,20,18,-20,25,215,95,689,neutral,0,
lizard,26,15,-16,27,228,122,861,neutral,0,
halfling,17,13,17,31,131,84,149,good,0,
human,7,16,11,34,240,101,330,neutral,0,154.0
human,11,6,14,28,211,102,319,neutral,0,138.0
orc,40,29,8,11,353,316,2353,evil,0,
halfling,11,7,13,21,122,80,141,good,0,
human,11,15,14,27,224,109,339,neutral,0,146.0
orc,38,27,10,5,331,335,2285,evil,0,
orc,50,27,10,9,354,326,2266,evil,0,
wingedrat,21,22,25,14,144,232,1092,evil,1,
wingedrat,30,11,21,15,176,197,949,evil,1,
lizard,27,16,-25,31,211,152,883,neutral,0,
wingedrat,27,20,22,10,166,222,1020,evil,1,
human,9,14,11,43,221,107,321,neutral,0,162.0
orc,40,21,5,9,352,324,2246,evil,0,
halfling,19,9,13,19,123,95,156,good,0,
halfling,15,6,13,27,118,128,187,good,0,
wingedrat,20,10,23,16,168,149,795,evil,1,
human,7,9,14,35,235,96,318,neutral,0,149.0
halfling,17,14,13,24,110,109,164,good,0,
orc,47,29,7,7,325,332,2144,evil,0,
wingedrat,21,17,18,14,141,205,953,evil,1,
lizard,23,19,-19,20,216,123,846,evil,0,
halfling,11,7,17,25,108,87,141,good,0,
human,14,9,10,31,217,102,329,neutral,0,143.0
orc,41,23,5,7,307,317,2170,evil,0,
human,15,16,11,32,220,109,337,neutral,0,144.0
wingedrat,32,19,21,13,163,171,857,evil,1,
lizard,20,17,-22,24,213,130,831,neutral,0,
halfling,14,9,7,19,110,89,144,good,0,
halfling,14,6,13,20,143,95,166,good,0,
wingedrat,29,18,24,11,161,195,987,evil,1,
lizard,20,21,-16,18,218,140,855,evil,0,
orc,29,26,16,7,358,332,2276,evil,0,
lizard,24,17,-13,27,211,119,807,neutral,0,
orc,52,19,11,12,338,321,2251,evil,0,
human,10,13,15,34,248,120,365,neutral,0,151.0
lizard,27,18,-19,22,218,107,760,evil,0,
halfling,17,10,12,31,104,132,184,good,0,
lizard,19,24,-13,24,226,131,847,neutral,0,
lizard,25,20,-17,17,208,119,756,evil,0,
wingedrat,27,13,11,13,163,220,1055,evil,1,
lizard,18,21,-20,29,204,141,839,neutral,0,
halfling,12,8,12,20,144,92,164,good,0,
halfling,15,10,13,20,124,112,174,good,0,
halfling,17,13,10,23,132,69,135,good,0,
halfling,19,10,14,19,137,133,201,good,0,
wingedrat,29,14,26,9,152,194,928,evil,1,
wingedrat,30,10,13,18,145,207,978,evil,1,
halfling,14,6,7,20,138,107,176,good,0,
lizard,20,22,-25,20,213,119,772,neutral,0,
halfling,15,13,12,17,150,81,156,good,0,
lizard,17,20,-16,24,222,127,795,neutral,0,
halfling,22,6,8,23,130,114,179,good,0,
halfling,15,9,15,16,144,116,188,good,0,
lizard,23,22,-15,16,218,142,884,evil,0,
lizard,30,19,-16,20,226,142,877,evil,0,
orc,54,24,10,9,305,287,2012,evil,0,
orc,38,23,13,10,312,330,2221,evil,0,
lizard,18,20,-21,19,204,126,802,neutral,0,
orc,51,30,12,7,286,327,2079,evil,0,
wingedrat,22,17,28,9,158,180,928,evil,1,
wingedrat,22,15,16,11,170,175,901,evil,1,
halfling,20,10,12,23,146,80,153,good,0,
lizard,18,18,-12,19,236,163,982,neutral,0,
halfling,13,7,12,19,130,110,175,good,0,
wingedrat,25,17,28,13,149,167,827,evil,1,
orc,36,26,12,5,324,344,2343,evil,0,
wingedrat,27,15,24,11,169,204,972,evil,1,
lizard,18,15,-15,22,225,122,796,neutral,0,
wingedrat,18,15,20,13,165,206,1027,evil,1,
halfling,12,12,11,23,125,113,175,good,0,
human,11,15,11,42,214,110,321,neutral,0,157.0
orc,36,25,13,10,322,296,2114,evil,0,
lizard,29,17,-19,23,226,143,963,evil,0,
orc,34,34,10,5,348,349,2367,evil,0,
wingedrat,29,10,23,9,144,212,975,evil,1,
wingedrat,29,11,29,11,158,204,978,evil,1,
human,11,12,8,42,209,111,321,neutral,0,156.0
wingedrat,25,16,25,9,143,205,983,evil,1,
halfling,17,7,14,21,139,69,138,good,0,
orc,40,25,7,11,337,350,2324,evil,0,
wingedrat,23,11,23,17,152,180,947,evil,1,
orc,48,34,10,8,344,304,2139,evil,0,
wingedrat,26,14,28,6,162,206,990,evil,1,
wingedrat,27,16,16,13,166,222,1079,evil,1,
wingedrat,24,15,18,11,130,186,868,evil,1,
lizard,20,22,-12,27,243,126,895,neutral,0,
halfling,13,11,8,20,109,96,150,good,0,
wingedrat,30,13,26,8,163,187,951,evil,1,
human,13,12,14,33,198,113,310,neutral,0,148.0
orc,49,31,16,9,331,356,2340,evil,0,
halfling,10,7,14,28,131,91,156,good,0,
lizard,22,23,-12,17,222,155,944,evil,0,
human,14,10,17,33,230,104,338,neutral,0,146.0
human,11,13,11,36,191,106,293,neutral,0,152.0
